parameter,value,policy,outcome,n,baseline_mean,policy_mean,mean_diff,sd_diff,se_diff,ci_lo,ci_hi,boot_ci_lo,boot_ci_hi,t_stat,p_value,arm_correlation,variance_reduction_factor,seeds_same_direction
beta_institutional,75.0,portfolio_tax,homeownership_rate,15,0.5311605468153202,0.5250293563292696,-0.006131190486050734,0.010363648244209192,0.002675882470384929,-0.011870387586964938,-0.0003919933851365314,-0.010885084927364957,-0.0007801134275290166,-2.2912779443443774,0.0379728163869792,0.9011887038915022,9.850970819837103,12
beta_institutional,75.0,waiting_period,ftb_purchase_share,15,0.3522882702586539,0.2633223894360481,-0.08896588082260593,0.04148855787128186,0.01071229957957582,-0.11194147835786764,-0.06599028328734421,-0.10839752609632193,-0.06782045880919985,-8.305021733356785,8.835182791557101e-07,0.3399733866807623,1.5102732174770481,15
beta_institutional,75.0,ownership_cap_soft,ftb_purchase_share,15,0.3522882702586539,0.3356595446047526,-0.016628725653901385,0.038609941367285086,0.009969043994235998,-0.038010198504005686,0.004752747196202917,-0.03452268749811345,0.0015920238522452044,-1.6680361390235563,0.11751109976159368,0.45277664169871984,1.8245022677752953,9
beta_institutional,75.0,ownership_cap_hard,ftb_purchase_share,15,0.3522882702586539,0.32754503261139106,-0.024743237647262887,0.029697245420117147,0.0076677957960232124,-0.04118902399624558,-0.0082974512982802,-0.03894427463107716,-0.00950774495011274,-3.226903572483711,0.006086003484413206,0.6375844929689348,2.604987049608425,12
beta_institutional,75.0,purchase_tax,ftb_purchase_share,15,0.3522882702586539,0.3440743458340291,-0.008213924424624841,0.0254765584602403,0.00657801910901269,-0.022322372242504194,0.005894523393254511,-0.021862518262086718,0.004280334768066871,-1.2486926973761387,0.2322552373722589,0.7517749203257198,3.919040760792591,6
beta_institutional,75.0,vacancy_tax,ftb_purchase_share,15,0.3522882702586539,0.33899105390368395,-0.013297216354970024,0.048647530073073424,0.012560738253809189,-0.040237320552159894,0.013642887842219847,-0.03631916619168804,0.01035447171155581,-1.0586333451329972,0.307691177741781,0.05973876642224801,1.0627862922576103,10
beta_institutional,75.0,portfolio_tax,ftb_purchase_share,15,0.3522882702586539,0.3366728852548369,-0.015615385003816958,0.03637197300583224,0.0093912030480196,-0.0357575122847425,0.004526742277108585,-0.032966290924452385,0.0035992239893301334,-1.6627672646381448,0.11857568486643504,0.4084164608748347,1.6207999912302726,12
beta_institutional,75.0,waiting_period,rental_vacancy_rate,15,0.052327418003653946,0.06481564018430483,0.012488222180650883,0.007737782576765204,0.0019978868704257032,0.008203181016996072,0.016773263344305695,0.008836262260601893,0.01639270274984992,6.250715376086301,2.124258949760418e-05,0.8151735362538715,5.26648172071439,15
beta_institutional,75.0,ownership_cap_soft,rental_vacancy_rate,15,0.052327418003653946,0.05096509518837012,-0.0013623228152838465,0.0049096332877010635,0.0012676618639501191,-0.004081187105865133,0.0013565414752974392,-0.00369648373809165,0.0011748181886580425,-1.074673660244663,0.3006942739314583,0.9312478850181566,12.666583862834454,11
beta_institutional,75.0,ownership_cap_hard,rental_vacancy_rate,15,0.052327418003653946,0.04561046181716292,-0.006716956186491033,0.0041415305400362415,0.0010693385872913182,-0.009010459353390282,-0.004423453019591784,-0.008643042959173276,-0.004672096359764315,-6.281411955314714,2.0173360008060192e-05,0.9508976886502484,20.363704482862246,15
beta_institutional,75.0,purchase_tax,rental_vacancy_rate,15,0.052327418003653946,0.05158465027455364,-0.0007427677291003122,0.0018792177014461235,0.0004852119241066012,-0.0017834438047431341,0.0002979083465425098,-0.001749420315791706,4.328731753955067e-05,-1.5308109553736482,0.1480952994780299,0.990375446044285,101.42527668761781,7
beta_institutional,75.0,vacancy_tax,rental_vacancy_rate,15,0.052327418003653946,0.052386982886618076,5.956488296412025e-05,0.0060213432948357385,0.0015547041535131007,-0.003274943889141296,0.003394073655069537,-0.0028477511275214512,0.00303387573926898,0.0383126801517343,0.9699793514160817,0.907304936371171,10.477998455596804,8
beta_institutional,75.0,portfolio_tax,rental_vacancy_rate,15,0.052327418003653946,0.05164436826344333,-0.0006830497402106284,0.007061414154583254,0.0018232492947582847,-0.004593530556363722,0.0032274310759424648,-0.004191075901231253,0.0028942525910438605,-0.3746332123502524,0.7135469989974508,0.8513306062650471,6.672428456795216,8
